ID Set,ID Partida,Lote,Data,Horário,Jogador 1,Jogador 2,Nº Set,Pontos J1,Pontos J2,Vencedor Set,Diferença J1,Total Set,J1 venceu?,J2 venceu?
P000001-S1,P000001,L001,15/07/2026,06:10,Dronova Ulana,Svitlana Yureneva,1,11,5,Dronova Ulana,6,16,1,0
P000001-S2,P000001,L001,15/07/2026,06:10,Dronova Ulana,Svitlana Yureneva,2,12,10,Dronova Ulana,2,22,1,0
P000001-S3,P000001,L001,15/07/2026,06:10,Dronova Ulana,Svitlana Yureneva,3,12,10,Dronova Ulana,2,22,1,0
P000002-S1,P000002,L001,15/07/2026,06:40,Plashchynska Anhelina,Nadiia Harmash,1,11,6,Plashchynska Anhelina,5,17,1,0
P000002-S2,P000002,L001,15/07/2026,06:40,Plashchynska Anhelina,Nadiia Harmash,2,12,10,Plashchynska Anhelina,2,22,1,0
P000002-S3,P000002,L001,15/07/2026,06:40,Plashchynska Anhelina,Nadiia Harmash,3,13,11,Plashchynska Anhelina,2,24,1,0
P000003-S1,P000003,L001,15/07/2026,07:10,Yana Mykhailyk,Svitlana Yureneva,1,4,11,Svitlana Yureneva,-7,15,0,1
P000003-S2,P000003,L001,15/07/2026,07:10,Yana Mykhailyk,Svitlana Yureneva,2,9,11,Svitlana Yureneva,-2,20,0,1
P000003-S3,P000003,L001,15/07/2026,07:10,Yana Mykhailyk,Svitlana Yureneva,3,8,11,Svitlana Yureneva,-3,19,0,1
P000004-S1,P000004,L001,15/07/2026,08:10,Dronova Ulana,Plashchynska Anhelina,1,6,11,Plashchynska Anhelina,-5,17,0,1
P000004-S2,P000004,L001,15/07/2026,08:10,Dronova Ulana,Plashchynska Anhelina,2,11,6,Dronova Ulana,5,17,1,0
P000004-S3,P000004,L001,15/07/2026,08:10,Dronova Ulana,Plashchynska Anhelina,3,8,11,Plashchynska Anhelina,-3,19,0,1
P000004-S4,P000004,L001,15/07/2026,08:10,Dronova Ulana,Plashchynska Anhelina,4,14,12,Dronova Ulana,2,26,1,0
P000004-S5,P000004,L001,15/07/2026,08:10,Dronova Ulana,Plashchynska Anhelina,5,8,11,Plashchynska Anhelina,-3,19,0,1
P000005-S1,P000005,L001,15/07/2026,08:40,Yana Mykhailyk,Nadiia Harmash,1,7,11,Nadiia Harmash,-4,18,0,1
P000005-S2,P000005,L001,15/07/2026,08:40,Yana Mykhailyk,Nadiia Harmash,2,15,13,Yana Mykhailyk,2,28,1,0
P000005-S3,P000005,L001,15/07/2026,08:40,Yana Mykhailyk,Nadiia Harmash,3,7,11,Nadiia Harmash,-4,18,0,1
P000005-S4,P000005,L001,15/07/2026,08:40,Yana Mykhailyk,Nadiia Harmash,4,12,10,Yana Mykhailyk,2,22,1,0
P000005-S5,P000005,L001,15/07/2026,08:40,Yana Mykhailyk,Nadiia Harmash,5,14,12,Yana Mykhailyk,2,26,1,0
P000006-S1,P000006,L001,15/07/2026,09:10,Plashchynska Anhelina,Svitlana Yureneva,1,12,14,Svitlana Yureneva,-2,26,0,1
P000006-S2,P000006,L001,15/07/2026,09:10,Plashchynska Anhelina,Svitlana Yureneva,2,11,9,Plashchynska Anhelina,2,20,1,0
P000006-S3,P000006,L001,15/07/2026,09:10,Plashchynska Anhelina,Svitlana Yureneva,3,11,5,Plashchynska Anhelina,6,16,1,0
P000006-S4,P000006,L001,15/07/2026,09:10,Plashchynska Anhelina,Svitlana Yureneva,4,12,10,Plashchynska Anhelina,2,22,1,0
P000007-S1,P000007,L001,15/07/2026,10:10,Yana Mykhailyk,Plashchynska Anhelina,1,10,12,Plashchynska Anhelina,-2,22,0,1
P000007-S2,P000007,L001,15/07/2026,10:10,Yana Mykhailyk,Plashchynska Anhelina,2,11,7,Yana Mykhailyk,4,18,1,0
P000007-S3,P000007,L001,15/07/2026,10:10,Yana Mykhailyk,Plashchynska Anhelina,3,8,11,Plashchynska Anhelina,-3,19,0,1
P000007-S4,P000007,L001,15/07/2026,10:10,Yana Mykhailyk,Plashchynska Anhelina,4,7,11,Plashchynska Anhelina,-4,18,0,1
P000008-S1,P000008,L001,15/07/2026,10:40,Dronova Ulana,Nadiia Harmash,1,11,3,Dronova Ulana,8,14,1,0
P000008-S2,P000008,L001,15/07/2026,10:40,Dronova Ulana,Nadiia Harmash,2,11,8,Dronova Ulana,3,19,1,0
P000008-S3,P000008,L001,15/07/2026,10:40,Dronova Ulana,Nadiia Harmash,3,11,5,Dronova Ulana,6,16,1,0
P000009-S1,P000009,L001,15/07/2026,11:40,Yana Mykhailyk,Dronova Ulana,1,5,11,Dronova Ulana,-6,16,0,1
P000009-S2,P000009,L001,15/07/2026,11:40,Yana Mykhailyk,Dronova Ulana,2,13,11,Yana Mykhailyk,2,24,1,0
P000009-S3,P000009,L001,15/07/2026,11:40,Yana Mykhailyk,Dronova Ulana,3,11,8,Yana Mykhailyk,3,19,1,0
P000009-S4,P000009,L001,15/07/2026,11:40,Yana Mykhailyk,Dronova Ulana,4,6,11,Dronova Ulana,-5,17,0,1
P000009-S5,P000009,L001,15/07/2026,11:40,Yana Mykhailyk,Dronova Ulana,5,6,11,Dronova Ulana,-5,17,0,1
P000010-S1,P000010,L001,15/07/2026,23:30,Anna Rzhevska,Alina Kurtenko,1,7,11,Alina Kurtenko,-4,18,0,1
P000010-S2,P000010,L001,15/07/2026,23:30,Anna Rzhevska,Alina Kurtenko,2,9,11,Alina Kurtenko,-2,20,0,1
P000010-S3,P000010,L001,15/07/2026,23:30,Anna Rzhevska,Alina Kurtenko,3,10,12,Alina Kurtenko,-2,22,0,1
P000011-S1,P000011,L002,16/07/2026,00:00,Victoria Kurtenko,Yana Mykhailyk,1,6,11,Yana Mykhailyk,-5,17,0,1
